,Alfalfa,Almonds,Corn,Grapes,Grass/Pasture,Walnuts
2001-01-01,17.169452084852313,18.212271344822646,19.34866838165365,18.40828523236858,18.77631981399069,18.116706183696227
2001-02-01,22.86862062090791,23.03827605757713,24.408098729757167,23.096435142624888,23.15885127457657,22.732729191279546
2001-03-01,49.728569946456396,51.295736701738825,56.179251919572174,47.67501544509052,56.24534747554714,51.83833669204832
2001-04-01,53.564865083652535,58.96376832425593,61.25467117998626,50.11256196933631,65.54116360804589,63.17631314284423
2001-05-01,37.827797603122356,41.235379851669066,49.50923708313224,40.0796392261982,41.33008189125822,51.586458991104536
2001-06-01,33.65233731916985,35.66596952104568,51.99492641038947,36.23633009287492,32.99641085065168,44.87496775205246
2001-07-01,47.28737852406597,49.97636425193547,79.83191506275327,49.17587503544555,37.069822405373465,56.61002401733549
2001-08-01,45.570689193066045,46.176764622563134,75.57592452167374,44.40537572596684,32.84214569337191,51.06162886734355
2001-09-01,33.81555220508028,33.679812958538534,47.6021511648055,34.14177025184413,26.40588570917745,36.05396223990298
2001-10-01,24.23670917206353,25.320575699308513,30.19876841668572,26.19943928964867,20.868721014656867,27.379975397801342
2001-11-01,18.73429905614098,20.54794147235155,21.276688796805807,20.479467225468852,18.196142743118425,20.0099821599243
2001-12-01,14.274554157258658,15.552091047698259,15.312029403426273,15.841233926124811,15.121621582834745,13.608779591256086
2002-01-01,16.580736623146095,18.26378222234249,18.80511683217444,18.54074583097923,20.395594887946068,17.812691696911415
2002-02-01,25.150603240999175,27.62820789759159,30.882587914283462,26.799942862507628,30.209339742157564,28.4779495652868
2002-03-01,40.99077530573836,43.94562140315771,48.72601053315205,39.10398838219564,47.05944343758127,44.94644201013547
2002-04-01,53.06818340732578,58.375338943362244,62.14798025705003,48.253826621181965,57.972568474137496,62.077929615598066
2002-05-01,50.26573441479342,55.42671921149492,61.98753739827937,50.62772163428551,49.25984440459642,67.23735419303861
2002-06-01,43.075781158418636,45.08653928464651,65.97200247203257,44.700851580820796,36.327202844409896,56.19538627276763
2002-07-01,45.00419514097317,45.98791756245494,81.56361718767837,44.61418359511155,32.644343802630736,51.807502494144366
2002-08-01,40.935783270875376,41.07449808196426,70.13824871804688,40.10587176187965,27.849940227032477,45.12566865386696
2002-09-01,30.731444832503534,29.736501498073334,45.055699169963276,30.59222480911345,23.038600286159497,33.31047141608424
2002-10-01,25.52881219704296,25.136273798391226,31.87224811162704,26.94675779219501,20.734005367594108,26.286269963128696
2002-11-01,16.966228340973082,17.72756665492058,19.52965454167717,17.377468960757447,16.99266204954746,17.149975842722025
2002-12-01,17.1027268315008,17.246206080806257,17.967411866309227,17.145404289084034,17.098593226726305,15.436069046053815
2003-01-01,17.71902545198053,17.961681243634228,18.7271350577692,18.606844143557154,22.62030442453264,17.429975342614117
2003-02-01,26.92238968526321,27.36831180832386,30.34518056955093,26.1886964826322,30.090157356533503,28.41986907779841
2003-03-01,50.94647305224506,53.08861740248204,57.40262236432496,46.06805775677862,57.905602810157184,53.62011195692192
2003-04-01,53.51097215456559,58.39463066840172,58.90604046511125,48.4636727618205,58.78024443391956,60.70127967689201
2003-05-01,54.81723213602968,62.52426191983223,68.5860330946607,55.209044531849784,58.766291777016285,75.47991128342304
2003-06-01,51.486557927592294,59.30806038701535,79.39138030121616,57.66332005030694,43.96593384069115,70.50975778861223
2003-07-01,40.97452182433268,42.32548894454241,76.08730554288671,40.4540898516651,32.5919068955101,50.25775190837381
2003-08-01,51.1111167088367,53.54237130382061,82.37723778783183,49.959758349686616,35.538949165677494,58.56513354838507
2003-09-01,36.15880353752074,36.79350838780403,52.04417994389167,36.734584404909896,26.189613257594967,39.48854474402264
2003-10-01,23.641749580181923,24.73893040118217,31.178869502257296,26.016461874088964,19.414212986299415,27.41700917054277
2003-11-01,19.35950558274096,21.084859363317488,22.522212012292265,20.57587540076593,18.75038430770393,21.69205004409626
2003-12-01,14.144520691640409,15.27054878423214,16.957404569664718,15.165407597772345,14.227320568723965,14.85654796799902
2004-01-01,14.933704024018498,15.67531987529993,16.221462980404006,15.538911277105,17.54798189240912,15.502777574117859
2004-02-01,24.23157921086216,24.55586450816393,26.397558191265816,23.71621226898132,25.4051923605017,24.82128492461101
2004-03-01,47.133912534312685,48.75655583726168,55.5324427405229,42.37382206049833,52.563763240044395,48.41037646723998
2004-04-01,47.33876096238494,51.570969490885744,55.59375411370297,43.69902421493144,51.258674846152275,57.60651188096193
2004-05-01,52.96948905967866,62.277991047525404,67.37623492510983,56.54464581584142,49.32589619695022,76.07796968605544
2004-06-01,61.717272116955044,70.04274466609955,90.8475096130764,64.09599891204066,43.902246713124846,77.04090877602961
2004-07-01,65.1842568809028,69.07637909363508,107.22740520446838,62.2515340666633,40.42840721054853,73.22394854992322
2004-08-01,57.97655688721958,60.9896587695241,90.80882296138087,55.13299605545919,36.46797873446897,62.3949678878946
2004-09-01,35.141716680412586,34.86754365903139,48.239855756471435,34.5838140410857,25.41526351839324,37.42583894315628
2004-10-01,30.16604259385482,32.19466662749052,36.12722865418419,32.914674417539075,25.801440477280018,33.7374392284026
2004-11-01,21.18780792851418,21.107508531332016,22.204693112072054,21.97032272267488,22.966521564983463,22.01777744053289
2004-12-01,14.272385647821613,14.599809335947034,15.3162793195073,15.114233745031118,18.035553037341344,14.480646002382016
2005-01-01,16.220121128381788,15.39977141561508,15.56369941220397,16.649638231874498,20.1184643568068,15.037923536530233
2005-02-01,28.697469219859,29.084393550539016,29.766635592167198,29.202396958073244,30.916476690068396,27.991988599629693
2005-03-01,47.25667614751249,49.80948169527054,50.570718906246704,44.673488447981434,55.06095334044872,47.79919716600554
2005-04-01,54.837726429141206,64.54742448735237,61.58290498368032,54.0138363844552,70.00549926291544,68.49430518443883
2005-05-01,61.982868516596575,75.09576165206433,70.95347213204745,68.45977339715012,68.47868936301359,83.33301364500501
2005-06-01,60.617799375717624,71.84635348677634,81.5837090241385,68.65926249524301,54.0033067608931,82.57190312093509
2005-07-01,56.609038070035936,61.51885606639385,96.31743606199056,59.22350051358711,42.14007554928856,66.3390210732853
2005-08-01,48.93922243987362,49.709395662948495,82.04756055586721,49.3523473702679,33.79575611156461,50.67872825709497
2005-09-01,43.84749895823427,46.51082182109356,60.60191666686928,46.790817150574505,31.25651445550605,45.97498672537289
2005-10-01,30.688102538598088,33.19357583394647,36.90748707333327,35.04273220699681,25.97121319263067,34.5482959097638
